PartitionKey,RowKey,,Tweets,Length,Date,Source,Favourites,RTs,Language
site,site,0,“forestry and bioenergy criteria have moved from being science-based to being sweden-based”being referred to as t… ,140,17/4/2021 6:57,Twitter Web App,3065,557,en
site,site,1," teenage swedish climate activist greta thunberg will testify before congress at an earth day hearing on thursday, the same da…",140,16/4/2021 19:04,Twitter for iPhone,0,633,en
site,site,2,school strike week 139.#climatestrikeonline#fridaysforfuture #schoolstrike4climate #facetheclimateemergency ,133,16/4/2021 11:52,Twitter for iPhone,14767,1682,en
site,site,3, my week 17 school strike online for climate change#schoolstrike4climate #nomoreemptypromises #climateaction ,140,16/4/2021 10:49,Twitter Web App,0,222,en
site,site,4, week 33 of #climatestrike for #fridaysforfuture this week we are asking for a better cap again! #withdrawthecap https/…,140,16/4/2021 10:44,Twitter Web App,0,143,en
site,site,5," we should do something about the #climatecrisis before it gets any worse. world leaders, what are you actually doing while eart…",140,16/4/2021 10:42,Twitter Web App,0,219,en
site,site,6," week 59, we suppothe different environmental and social struggles that the world is experiencing🇨🇴#climatestrikeonline…",140,16/4/2021 10:42,Twitter Web App,0,183,en
site,site,7, our lovely activists from gilgit city ❤️ ,85,16/4/2021 10:23,Twitter Web App,0,124,en
site,site,8, week #30th #climatestrike in lucknow india 🇮🇳   we need climate justice ⚖️solidarity #peaceuponyementake action bef…,140,16/4/2021 10:09,Twitter Web App,0,208,en
site,site,9," i've missed two weeks of striking because of mental health issues. i'm out of recovery now, so i can once again send…",140,16/4/2021 10:09,Twitter Web App,0,829,en
site,site,10," #climatechange is the greatest threat of humanity, we have to #actonclimate we have to panic we have no time left. no…",139,16/4/2021 5:58,Twitter Web App,0,293,en
site,site,11, week 29th #climatestrike  we can't deny our dependency on monsoon and the risk climate change posses to it. can we??#climate…,140,16/4/2021 5:57,Twitter Web App,0,318,en
site,site,12," tune in on 🗓 monday, 19 april, 5pm cet to join 👤 who director-general 👤 climate/environmental activist …",139,15/4/2021 17:32,Twitter for iPhone,0,241,en
site,site,13,just 3% of the world’s land remains ecologically intact with healthy populations of all its original animals and u… ,140,15/4/2021 5:53,Twitter Web App,16393,5837,en
site,site,14, a group of indigenous islanders from australia’s torres strait has launched a world-first legal battle in a bid to protect th…,140,15/4/2021 5:27,Twitter Web App,0,674,en
site,site,15," climate ambition is a one-way lane, and it only goes up! brazil tried to cheat and backslide in its #parisagreement pledge up…",140,14/4/2021 17:38,Twitter for iPhone,0,212,en
site,site,16,swedens biggest newspaper has mapped sweden's total co2 emissions.turns out they're about 200% (!) higher than the… ,140,14/4/2021 17:18,Twitter Web App,5903,1142,en
site,site,17,if only it was that simple that we could just invest and put money on things and that would solve the problem.lo… ,140,14/4/2021 17:03,Twitter Web App,2343,417,en
site,site,18, school strike for the climate - 23/04/21. strike from school and join us from 1300-1700 on zoom to demand real climate ju…,140,14/4/2021 16:23,Twitter Web App,0,143,en
site,site,19," today, the japanese government decided to dump over 1.23 million tons of fukushima radioactive waste water stored into the…",139,13/4/2021 17:01,Twitter Web App,0,2496,en
site,site,20,wealthiest 1% produce double the combined co2 emissions of poorest 50%.we have got to cut over-consumption and t… ,140,13/4/2021 16:39,Twitter Web App,9952,2922,en
site,site,21," 📈  419.90 ppm #co2 in the atmosphere april 11, 2021 📈 up from 416.33 ppm a year ago 📈 mauna loa observatory  data &amp; gra…",144,13/4/2021 14:25,Twitter Web App,0,222,en
site,site,22," you had 50 years to understand this crisis and you still are doing nothing. so we’re done spoon feeding you. we’re moving on,…",140,13/4/2021 14:25,Twitter Web App,0,282,en
site,site,23,"scientific evidence is being sacrificed ”to win a political compromise”, says the head of the group advising the eu… ",140,13/4/2021 11:17,Twitter Web App,2653,684,en
site,site,24,japan says it will release more than one million tonnes of contaminated water from the ruined fukushima nuclear po… ,140,13/4/2021 8:01,Twitter Web App,6576,2596,en
site,site,25," “i don’t want you to listen to me, i want you to listen to the science.”  a year to change the world st…",140,12/4/2021 18:42,Twitter for iPhone,0,241,en
site,site,26,the moment i met sir david attenborough in person for the first time to discuss the climate crisis. greta thunber… ,140,12/4/2021 18:17,Twitter Media Studio,18011,3188,en
site,site,27, the moving moment  and sir david attenborough met in person for the first time.greta thunberg a year to change th…,140,12/4/2021 12:05,Twitter for iPhone,0,1704,en
site,site,28," in “a year to change the world,” a three-pabbc documentary premièring on pbs this month, greta thunberg travels the world…",140,11/4/2021 11:28,Twitter Web App,0,335,en
site,site,29,a big shoutout to all exploring and extracting fossil fuel companies who are going “net zero 2050” for showing the… ,139,11/4/2021 11:07,Twitter for iPhone,17071,2011,en
site,site,30,"  has promised to go net zero by 2050, yet they're behind the construction of the east african crude oil pipeline…",140,11/4/2021 10:57,Twitter for iPhone,0,257,en
site,site,31, above borneo forest loss below swedish forest loss we are sytematiclly wiping away whole ecosystems to make space for…,139,11/4/2021 10:23,Twitter for iPhone,0,1377,en
site,site,32,today at 3pm gmt together with    and  i'll talk about youth org… ,140,11/4/2021 8:40,Twitter for iPhone,1635,360,en
site,site,33," methane has risen by *over 150%* and is accelerating.for reference, co2 has risen 50%.we need to *dramatically* reduc…",140,11/4/2021 7:15,Twitter Web App,0,1046,en
site,site,34," more countries are beginning to receive vaccine supplies, but most people in low- and middle-income nations are still…",139,11/4/2021 7:13,Twitter Web App,0,980,en
site,site,35," 🏆📈🏆  421.36 ppm #co2 in earth’s atmosphere on april 8, 2021 🏆 highest ever daily average at the mauna loa observatory 🏆 up f…",140,10/4/2021 5:59,Twitter Web App,0,549,en
site,site,36, uuups? hat da etwa jemand mal die wahrheit über fossiles gas plakatiert?#cleangasisadirtylie ,138,10/4/2021 5:58,Twitter Web App,0,291,en
site,site,37," #nodapl update “in a meeting with biden’s staff earlier this year, we were told that this new administration wanted to…",140,10/4/2021 5:56,Twitter Web App,0,720,en
site,site,38," “people aren’t migrating; they’re fleeing. these people have lost everything, even their hope.” last fall, back-to-back hurricane…",140,9/4/2021 17:06,Twitter Web App,0,277,en
site,site,39, coal kills. stop investing in fossil fuels. the time to act is now.  #fridaysforfuture #climates…,140,9/4/2021 17:03,Twitter Web App,0,314,en
site,site,40," we are the true victims of this #climatecrisis. we'll keep striking to raise attention to the fact that, we're living…",139,9/4/2021 17:02,Twitter Web App,0,240,en
site,site,41, week 39th #climatestrike🌍 in #india🇮🇳our planet is on fireour planet is drowningour planet temperature is rising.our l…,140,9/4/2021 17:01,Twitter Web App,0,248,en
site,site,42,school strike week 138.#climatestrikeonline#fridaysforfuture #schoolstrike4climate #facetheclimateemergency ,133,9/4/2021 13:11,Twitter for iPhone,17625,1920,en
site,site,43,and a digital solution is of course far from optimal. high speed internet connection and access to computers is ext… ,140,9/4/2021 9:01,Twitter for iPhone,2554,247,en
site,site,44,but if current trends continue and the #cop26 has to be delayed that doesn’t mean we have to delay the urgent actio… ,140,9/4/2021 8:45,Twitter for iPhone,3851,421,en
site,site,45,inequality and climate injustice is already the heaof the climate crisis. if people can’t be vaccinated and trav… ,140,9/4/2021 8:41,Twitter for iPhone,3714,497,en
site,site,46,of course i would love to attend the glasgow #cop26but not unless everyone can take paon the same terms. right… ,139,9/4/2021 8:38,Twitter for iPhone,8462,1400,en
site,site,47, bangladesh is now under lockdown due to second wave of covid-19. but we aren't stopped. climate activists are joining d…,140,9/4/2021 8:32,Twitter for iPhone,0,312,en
site,site,48," thousands of students march in wellington for urgent climate change action, via  ",132,9/4/2021 6:51,Twitter for iPhone,0,259,en
site,site,49, the auckland #schoolstrike4climate is shaping up nicely!#climateaction now!#climateemergency #nzpol ,140,9/4/2021 6:50,Twitter for iPhone,0,184,en
site,site,50, the crowd builds in auckland as climate strike organiser jack barlow speaks. 📸 rnz / dan cook https/…,140,9/4/2021 6:50,Twitter for iPhone,0,151,en
site,site,51, equally inspiring &amp; embarrassing to see our young people take to the streets demanding urgent climate actionthis has to…,143,9/4/2021 6:21,Twitter Web App,0,289,en
site,site,52, big turnout in thames   #schoolstrike4climate ,91,9/4/2021 6:21,Twitter Web App,0,134,en
site,site,53, wellington new zealand  march todaywe demand climate action now!  #schoolstrike…,140,9/4/2021 6:20,Twitter Web App,0,201,en
site,site,54, on april 9th - we demand action. ,68,9/4/2021 6:20,Twitter Web App,0,151,en
site,site,55, catastrophic and widespread crop damage has become a reality with another harsh frost across europe.the mildness is (…,140,8/4/2021 18:42,Twitter for iPhone,0,563,en
site,site,56,carbon emissions from england's roads plan '100 times greater than government claims' ,112,8/4/2021 7:42,Twitter Web App,4936,1296,en
site,site,57, carbon dioxide levels are now higher than at anytime in the past 3.6 million years.see today's story from  at htt…,140,8/4/2021 7:40,Twitter Web App,0,974,en
site,site,58, brutal temperature crash in europe ⚠️ two huge records only one week apart. horrific for flora and fauna at this delic…,140,7/4/2021 16:56,Twitter Web App,0,2248,en
site,site,59," the spanish climate change law will be processed tomorrow, failing to comply with the electoral promise in the emissio…",140,7/4/2021 16:53,Twitter Web App,0,194,en
site,site,60,on monday 12/4 9pm bst episode 1 of “a year to change the world” will air on  .it’s a documentary series in… ,140,6/4/2021 19:10,Twitter for iPhone,8308,1882,en
site,site,61," one extreme to another in less than one week!beauvais, france 🇫🇷 broke its monthly heat record on march 31 with a baki…",140,6/4/2021 16:06,Twitter for iPhone,0,1995,en
site,site,62,"climate is not like a footy match where you lose and it is game over. the climate game continues, so even if the 1… ",140,6/4/2021 8:36,Twitter Web App,14132,3412,en
site,site,63, at least 97 people killed and thousands of homes destroyed in flash floods and landslides after cyclone seroja hit indonesia…,140,5/4/2021 11:47,Twitter for iPhone,0,776,en
site,site,64,"is this is confirmed, then it is truly groundbreaking to say the least.and i don’t mean that in a good way... ",134,5/4/2021 10:42,Twitter for iPhone,7399,2121,en
site,site,65, vaccine nationalism will prolong the pandemic 💬 rich countries must donate spare #covid19 vaccine doses to…,139,5/4/2021 8:15,Twitter Web App,0,569,en
site,site,66," 53 years ago today, my father was taken from this world. 💔i was only 10 years old when my father was killed, but at the…",140,4/4/2021 19:22,Twitter for iPhone,0,19369,en
site,site,67," most people don't realise this, but the majority of high-income nations have already significantly exceeded their fair sha…",140,4/4/2021 14:10,Twitter Web App,0,2627,en
site,site,68," rich nations' 2050 targets are tantamount to saying we've already eaten more than our fair share of the pie, but will kee…",140,4/4/2021 14:08,Twitter Web App,0,470,en
site,site,69, there is no great mystery about the cause of #covid19 – or any modern pandemic. — for #worldhealthday o…,140,4/4/2021 8:28,Twitter Web App,0,736,en
site,site,70,so the ”biggest line item” of biden's climate focused $2 trillion infrastructure plan will ”fund repairs and renova… ,140,3/4/2021 12:11,Twitter Web App,7329,1109,en
site,site,71," my 107th week. we demand green recovery, climate action and justice in russia. according to the latest scientific data – ru…",140,3/4/2021 8:38,Twitter for iPhone,0,309,en
site,site,72, my 106th week on #climatestrikeurgent things to do for a sustainable future 🚨#fightfor1point5!🚨#withdrawthecap! 🚨#ratif…,140,3/4/2021 8:38,Twitter for iPhone,0,389,en
site,site,73, young people are demanding serious #climateaction. we are ranked 3rd most vulnarable country to effects of the #climat…,140,3/4/2021 8:35,Twitter for iPhone,0,465,en
site,site,74,"it simply means that you are a bit different from everyone else. and in a world where everyone strives to act, thin… ",140,2/4/2021 18:40,Twitter for iPhone,22224,1779,en
site,site,75,so let’s all join in spreading awareness. it could literally save lives. autism is not a disease. it’s not somethin… ,140,2/4/2021 18:39,Twitter for iPhone,12738,1048,en
site,site,76,"sadly, today the level of awareness is so low. so many go undiagnosed and will therefore not receive the help they… ",139,2/4/2021 18:38,Twitter for iPhone,8280,499,en
site,site,77,almost everywhere there are very limited resources to give autistic people the necessary support. without these adj… ,140,2/4/2021 18:38,Twitter for iPhone,9342,708,en
site,site,78,that more people are diagnosed with autism etc isn’t because there is an “inflation” in diagnoses but since awarene… ,140,2/4/2021 18:37,Twitter for iPhone,9410,637,en
site,site,79,"today, so many (especially girls) remain undiagnosed. the reasons for that are often lack of awareness, prejudices… ",139,2/4/2021 18:34,Twitter for iPhone,11330,829,en
